Date	Transaction	Amount	Name	Memo
2/13/2021	OTHER	91.25	Interac - Purchase - ADDISON ELE	ADDISON ELECTRO MONTREAL  QC  CA
2/14/2021	OTHER	1.25	Withdrawal to Tangerine Savings 	Transferred
2/17/2021	OTHER	0.95	Withdrawal to Tangerine Savings 	Transferred
2/17/2021	OTHER	12.57	Interac - Purchase - BEMOL   LEV	BEMOL   LEVAIN MONTREAL  QC  CA
2/18/2021	OTHER	0.43	Withdrawal to Tangerine Savings 	Transferred
2/18/2021	OTHER	206.46	EFT Withdrawal to CIE BELAIR	To CIE BELAIR
2/18/2021	OTHER	28.93	Interac - Purchase - CANADIAN TI	CANADIAN TIRE # MONTREAL  QC  CA
2/18/2021	OTHER	12.57	Interac - Purchase - BEMOL   LEV	BEMOL   LEVAIN MONTREAL  QC  CA
2/18/2021	OTHER	71.2	Interac - Purchase - THE HOME DE	THE HOME DEPOT MONTREAL  QC  CA
2/19/2021	OTHER	1.84	Withdrawal to Tangerine Savings 	Transferred
2/19/2021	OTHER	275.94	INTERAC e-Transfer From: LES PRO	Transferred
2/20/2021	OTHER	0.61	Withdrawal to Tangerine Savings 	Transferred
2/20/2021	OTHER	38.04	Interac - Purchase - DEPANNEUR V	DEPANNEUR VALLE MONTREAL  QC  CA
2/21/2021	OTHER	0.96	Withdrawal to Tangerine Savings 	Transferred
2/21/2021	OTHER	48.21	Interac - Purchase - RONA ENT. A	RONA ENT. ANJOU ANJOU  QC  CA
2/21/2021	OTHER	40.55	Interac - Purchase - BEST BUY #8	BEST BUY #84 ANJOU  QC  CA
2/21/2021	OTHER	43.09	Interac - Purchase - JEAN COUTU 	JEAN COUTU #092 MONTREAL  QC  CA
2/22/2021	OTHER	2.15	Withdrawal to Tangerine Savings 	Transferred
2/22/2021	OTHER	16.87	Interac - Purchase - BUREAU EN G	BUREAU EN GROS SAINT-LEON  QC  CA
2/23/2021	OTHER	0.13	Withdrawal to Tangerine Savings 	Transferred
2/24/2021	OTHER	11.25	Interac - Purchase - BEMOL   LEV	BEMOL   LEVAIN MONTREAL  QC  CA
2/25/2021	OTHER	0.79	Withdrawal to Tangerine Savings 	Transferred
2/25/2021	OTHER	12.57	Interac - Purchase - BEMOL   LEV	BEMOL   LEVAIN MONTREAL  QC  CA
2/25/2021	OTHER	27.33	Interac - Purchase - DEPANNEUR V	DEPANNEUR VALLE MONTREAL  QC  CA
2/26/2021	OTHER	1.1	Withdrawal to Tangerine Savings 	Transferred
2/26/2021	OTHER	15.87	Interac - Purchase - BEMOL   LEV	BEMOL   LEVAIN MONTREAL  QC  CA
2/26/2021	OTHER	16	Interac - Purchase - LA SUCCURSA	LA SUCCURSALE MONTREAL  QC  CA
2/27/2021	OTHER	0.29	Withdrawal to Tangerine Savings 	Transferred
2/27/2021	ATM	840.39	Tangerine Credit Card Payment	Credit Card Payment
2/28/2021	OTHER	16.43	Interac - Purchase - HARVEY'S #0	HARVEY'S #00024 ST.LEONARD  QC  CA
2/28/2021	OTHER	0.02	Interest Paid	
3/1/2021	OTHER	0.57	Withdrawal to Tangerine Savings 	Transferred
3/1/2021	OTHER	7.16	Interac - Purchase - COUCHETARD 	COUCHETARD #365 MONTREAL  QC  CA
